epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.068,1.47881,0.93036,1.25383,0.77026,0.43333,0.4604,0.16207,2.76098,1.40324,3.11558,0.000661692,0.000661692,0.000661692
2,366.138,1.57995,0.98044,1.29616,0.75994,0.46667,0.45451,0.13819,2.82622,2.11147,2.80722,0.00130206,0.00130206,0.00130206
3,473.803,1.59347,1.0125,1.31828,0.45811,0.26667,0.28073,0.08714,2.89845,2.99587,2.55983,0.00191602,0.00191602,0.00191602
4,558.4,1.59585,0.99108,1.31328,0.45159,0.43333,0.41834,0.12921,2.55392,1.98341,2.78331,0.0018812,0.0018812,0.0018812
5,644.126,1.57368,0.97444,1.30909,0.46067,0.43333,0.3612,0.1121,2.58432,2.18554,2.83298,0.0018416,0.0018416,0.0018416
6,761.032,1.5637,0.9416,1.28594,0.64277,0.43333,0.46967,0.14473,2.641,1.89882,2.76789,0.001802,0.001802,0.001802
