epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.577,1.83163,2.55671,1.4159,0.33884,0.5,0.3342,0.11255,2.52001,2.09985,2.76032,0.000665339,0.000665339,0.000665339
2,292.373,1.78177,1.31768,1.45872,0.53093,0.52835,0.44694,0.13407,2.56444,1.60128,2.8274,0.00106827,0.00106827,0.00106827
3,423.815,1.7441,1.2123,1.42125,0.47378,0.5,0.44385,0.1656,2.44441,1.75352,2.64582,0.0012072,0.0012072,0.0012072
4,555.729,1.66044,1.09659,1.37492,0.79429,0.43333,0.57504,0.18356,2.47807,1.81087,2.63238,0.000812,0.000812,0.000812
5,687.308,1.58952,1.00783,1.31938,0.75722,0.62407,0.6173,0.23054,2.41441,1.46615,2.50866,0.000416,0.000416,0.000416
