epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.358,1.79382,4.01499,1.30565,0.18315,0.36667,0.16989,0.04424,2.70816,2.60551,2.91641,0.000396825,0.000396825,0.000396825
2,719.706,1.74321,1.28803,1.34058,0.2975,0.26667,0.16803,0.05862,2.80873,2.80614,3.03477,0.000781048,0.000781048,0.000781048
3,990.086,1.71088,1.22045,1.36333,0.38867,0.7,0.42266,0.13504,2.52143,1.70595,2.42097,0.00114943,0.00114943,0.00114943
4,1322.08,1.68598,1.14235,1.32087,0.40802,0.56667,0.49463,0.1741,2.54512,1.8792,2.46938,0.00150197,0.00150197,0.00150197
5,1618.45,1.6998,1.13747,1.34221,0.48647,0.59996,0.52793,0.17798,2.3942,1.82866,2.35863,0.00183868,0.00183868,0.00183868
6,1864.19,1.68227,1.14432,1.33088,0.53426,0.6,0.5819,0.2203,2.2444,1.58629,2.19208,0.001802,0.001802,0.001802
7,2146,1.66881,1.11063,1.31492,0.50068,0.23333,0.2369,0.09269,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,2473.83,1.6338,1.04931,1.27635,0.66815,0.53704,0.57167,0.21243,2.30812,1.63069,2.18411,0.0017228,0.0017228,0.0017228
9,2793.36,1.6089,1.01792,1.28172,0.71656,0.66667,0.75543,0.27513,2.30009,1.41309,2.19632,0.0016832,0.0016832,0.0016832
10,3062.06,1.59202,0.99718,1.26756,0.58914,0.57374,0.57278,0.25329,2.27453,1.68149,2.14429,0.0016436,0.0016436,0.0016436
11,3391.48,1.5885,0.97385,1.26844,0.73546,0.6,0.60978,0.24195,2.20169,1.38221,2.10951,0.001604,0.001604,0.001604
12,3757.18,1.56874,0.9453,1.24352,0.67172,0.6,0.60055,0.20281,2.45051,1.42645,2.52257,0.0015644,0.0015644,0.0015644
13,4058.02,1.56303,0.95582,1.2438,0.73665,0.53333,0.58973,0.20079,2.53566,1.83135,2.36317,0.0015248,0.0015248,0.0015248
14,4359.03,1.52954,0.91323,1.2287,0.63832,0.4,0.43182,0.17208,2.47102,1.98392,2.41052,0.0014852,0.0014852,0.0014852
15,4690.42,1.53242,0.93204,1.21847,0.75666,0.6,0.64648,0.20331,2.37461,1.3273,2.28574,0.0014456,0.0014456,0.0014456
16,5079.24,1.50651,0.89896,1.21434,0.73663,0.55963,0.54976,0.14533,2.5659,1.62445,2.52367,0.001406,0.001406,0.001406
17,5480.96,1.50904,0.89968,1.21401,0.87049,0.67232,0.73398,0.28035,2.19079,1.10306,2.12362,0.0013664,0.0013664,0.0013664
18,5791.29,1.51193,0.89573,1.21255,0.75275,0.71062,0.72541,0.24452,2.48897,1.33893,2.39694,0.0013268,0.0013268,0.0013268
19,6116.21,1.4931,0.87208,1.2044,0.78441,0.56667,0.65835,0.27031,2.13691,1.25252,1.98738,0.0012872,0.0012872,0.0012872
20,6492.68,1.4925,0.8671,1.20509,0.87071,0.63333,0.7223,0.29493,2.32021,1.27506,2.24127,0.0012476,0.0012476,0.0012476
21,6826.36,1.46402,0.83811,1.18785,0.72728,0.63333,0.62791,0.24737,2.23332,1.66164,2.29381,0.001208,0.001208,0.001208
22,7196.76,1.46997,0.84947,1.19191,0.83187,0.65995,0.69719,0.24946,2.43929,1.54741,2.33338,0.0011684,0.0011684,0.0011684
23,7628.7,1.45059,0.83425,1.17855,0.80034,0.66814,0.72998,0.26977,2.29355,1.19453,2.25699,0.0011288,0.0011288,0.0011288
24,8027,1.45629,0.82664,1.18309,0.78256,0.63333,0.66504,0.21803,2.37369,1.69497,2.33999,0.0010892,0.0010892,0.0010892
25,8360.61,1.44635,0.82884,1.17581,0.83787,0.68934,0.71297,0.29616,2.36551,1.21594,2.34333,0.0010496,0.0010496,0.0010496
26,8715.74,1.43946,0.81703,1.17571,0.75394,0.7,0.76107,0.32795,2.06123,1.21253,2.04876,0.00101,0.00101,0.00101
27,9077.97,1.43268,0.80773,1.1654,0.83515,0.6,0.66054,0.25212,2.43666,1.37357,2.32875,0.0009704,0.0009704,0.0009704
28,9446.06,1.41154,0.79604,1.15822,0.85608,0.6,0.70669,0.30729,2.1192,1.19761,2.06477,0.0009308,0.0009308,0.0009308
29,9805.24,1.38959,0.78448,1.14816,0.7446,0.7,0.70914,0.28169,2.27673,1.11046,2.2961,0.0008912,0.0008912,0.0008912
30,10167.2,1.41813,0.79387,1.15484,0.88118,0.6,0.6734,0.31191,2.2943,1.40758,2.28809,0.0008516,0.0008516,0.0008516
