epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.988,1.7143,1.73413,1.41831,0.64652,0.46667,0.53349,0.17929,2.44954,1.7698,2.68407,0.000665004,0.000665004,0.000665004
2,311.895,1.63983,1.12773,1.34533,0.7214,0.53333,0.54817,0.18468,2.66985,1.83738,2.89434,0.0013053,0.0013053,0.0013053
3,424.531,1.6549,1.07433,1.34512,0.41453,0.5,0.43021,0.16606,2.48805,1.61585,2.7875,0.0019192,0.0019192,0.0019192
4,536.962,1.62675,1.04409,1.3384,0.62383,0.43333,0.49985,0.186,2.53996,2.13356,2.78045,0.0018812,0.0018812,0.0018812
5,648.691,1.6289,1.04067,1.33632,0.73838,0.47057,0.51072,0.15157,2.6829,2.00861,3.05869,0.0018416,0.0018416,0.0018416
6,760.307,1.59488,0.99682,1.31801,0.6813,0.64153,0.60964,0.17042,2.86217,1.41055,3.12043,0.001802,0.001802,0.001802
7,871.966,1.60122,0.99711,1.30719,0.54441,0.5,0.48403,0.19061,2.48587,2.06764,2.7757,0.0017624,0.0017624,0.0017624
