epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.819,1.58376,1.05867,1.31005,0.85135,0.57298,0.64388,0.19346,2.5311,1.47714,2.82216,0.000661692,0.000661692,0.000661692
2,323.505,1.58186,0.99259,1.29062,0.72766,0.43333,0.45654,0.14183,2.91704,2.03994,3.00767,0.00130206,0.00130206,0.00130206
3,407.675,1.59179,1.02698,1.32085,0.56101,0.5,0.483,0.16992,2.49575,1.92989,2.66348,0.00191602,0.00191602,0.00191602
4,570.095,1.59724,0.9986,1.31863,0.64377,0.46667,0.54392,0.17729,2.59167,1.92939,2.70004,0.0018812,0.0018812,0.0018812
5,659.938,1.58598,0.99451,1.31558,0.66982,0.46667,0.4929,0.1565,2.55306,1.60244,2.62835,0.0018416,0.0018416,0.0018416
6,747.452,1.57014,0.94177,1.29104,0.66211,0.46667,0.55224,0.19524,2.565,1.49699,2.75603,0.001802,0.001802,0.001802
